candidate_id,rank,score,reasoning
CAND_0006757,22,0.6106,"Senior Software Engineer with 5.4 YOE based in Coimbatore, Tamil Nadu, strong JD alignment via: Embeddings, LLMs, QLoRA."
CAND_0003791,23,0.6099,"ML Engineer with 6.6 YOE based in San Francisco, strong JD alignment via: LLMs, BM25, Weaviate, Python."
CAND_0021491,24,0.6097,"AI Research Engineer with 6.1 YOE based in Bhubaneswar, Odisha, strong JD alignment via: Elasticsearch, Python, LoRA, PEFT."
CAND_0072688,25,0.6089,"Data Scientist with 6.9 YOE based in Pune, Maharashtra (open to relocation), strong JD alignment via: Qdrant, Milvus, LoRA, NLP."
CAND_0039754,26,0.6084,"Senior Applied Scientist with 16.2 YOE based in Indore, Madhya Pradesh (open to relocation), strong JD alignment via: LLMs, BM25, Weaviate, Qdrant."
CAND_0037566,27,0.6077,"Machine Learning Engineer with 6.9 YOE based in Bangalore, Karnataka (open to relocation), strong JD alignment via: LLMs, BM25, LangChain, Pinecone."
CAND_0004402,28,0.6069,"AI Research Engineer with 6.0 YOE based in Delhi, Delhi, strong JD alignment via: Qdrant, OpenSearch, PEFT."
CAND_0086022,29,0.6068,"Senior Applied Scientist with 5.3 YOE based in Kolkata, West Bengal (open to relocation), strong JD alignment via: Embeddings, LangChain, Pinecone, Elasticsearch."
CAND_0007567,30,0.6063,"AI Specialist with 6.1 YOE based in Kochi, Kerala (open to relocation), strong JD alignment via: LLMs, Elasticsearch, FAISS, NLP."
CAND_0045141,31,0.6057,"Data Scientist with 5.3 YOE based in Kochi, Kerala (open to relocation), strong JD alignment via: LLMs, Pinecone, Milvus, FAISS."
CAND_0096104,32,0.605,"AI Specialist with 7.0 YOE based in Delhi, Delhi, strong JD alignment via: BM25, Pinecone, PEFT."
CAND_0001930,33,0.6044,"Senior Software Engineer (ML) with 6.9 YOE based in Kolkata, West Bengal, strong JD alignment via: Embeddings, Milvus, QLoRA, NLP."
CAND_0070514,34,0.6034,"AI Specialist with 5.5 YOE based in Bangalore, Karnataka (open to relocation), strong JD alignment via: Pinecone, OpenSearch, FAISS, Python."
CAND_0078002,35,0.6033,"Machine Learning Engineer with 6.3 YOE based in Coimbatore, Tamil Nadu, strong JD alignment via: LangChain, Weaviate, QLoRA, NLP."
CAND_0003724,36,0.6031,"Frontend Engineer with 7.6 YOE based in Noida, Uttar Pradesh (open to relocation), strong JD alignment via: Embeddings."
CAND_0028793,37,0.6031,"Search Engineer with 7.2 YOE based in Trivandrum, Kerala (open to relocation), strong JD alignment via: Embeddings, LoRA, QLoRA, PEFT."
CAND_0046064,38,0.6028,"Senior NLP Engineer with 8.9 YOE based in Coimbatore, Tamil Nadu, strong JD alignment via: BM25, Pinecone, OpenSearch, Elasticsearch."
CAND_0008425,39,0.6024,"Senior NLP Engineer with 7.8 YOE based in Kolkata, West Bengal, strong JD alignment via: Qdrant, Python, LoRA, NLP."
CAND_0067866,40,0.6022,"Senior Software Engineer (ML) with 6.4 YOE based in Noida, Uttar Pradesh (open to relocation), strong JD alignment via: Embeddings, Qdrant, Elasticsearch, LoRA."
CAND_0054546,41,0.6022,"AI Research Engineer with 4.9 YOE based in Pune, Maharashtra, strong JD alignment via: BM25, Qdrant, LoRA."
CAND_0099806,42,0.6016,"AI Engineer with 4.6 YOE based in Bhubaneswar, Odisha (open to relocation), strong JD alignment via: Embeddings, BM25, Weaviate, Qdrant."
CAND_0040946,43,0.6003,"AI Research Engineer with 6.0 YOE based in Pune, Maharashtra, strong JD alignment via: Qdrant, NLP."
CAND_0027691,44,0.6002,"NLP Engineer with 6.5 YOE based in Pune, Maharashtra, strong JD alignment via: Embeddings, Weaviate, Python, LoRA."
CAND_0073883,45,0.6001,"AI Specialist with 5.3 YOE based in Chandigarh, Chandigarh (open to relocation), strong JD alignment via: OpenSearch, FAISS, Python, PEFT."
CAND_0037706,46,0.5996,"Data Analyst with 6.1 YOE based in Hyderabad, Telangana, strong JD alignment via: Milvus."
CAND_0080577,47,0.5989,"Full Stack Developer with 5.4 YOE based in Pune, Maharashtra, strong JD alignment via: Data Science, MLflow, GANs."
CAND_0069905,48,0.5982,"Applied ML Engineer with 6.6 YOE based in Bhubaneswar, Odisha (open to relocation), strong JD alignment via: LangChain, Weaviate, Python, LoRA."
CAND_0005269,49,0.5977,"Senior Software Engineer (ML) with 6.1 YOE based in Kochi, Kerala, strong JD alignment via: Weaviate, Elasticsearch, FAISS."
CAND_0035321,50,0.5975,"Senior Data Engineer with 7.2 YOE based in Indore, Madhya Pradesh, strong JD alignment via: Milvus, FAISS."
CAND_0081480,51,0.5971,"Computer Vision Engineer with 5.6 YOE based in Noida, Uttar Pradesh, strong JD alignment via: BM25, FAISS."
CAND_0059795,52,0.5966,"Senior Software Engineer (ML) with 5.6 YOE based in Mumbai, Maharashtra (open to relocation), strong JD alignment via: LLMs, LangChain, Python."
CAND_0052682,53,0.5965,"NLP Engineer with 6.6 YOE based in Vizag, Andhra Pradesh, strong JD alignment via: Embeddings, LLMs, FAISS, Python."
CAND_0055960,54,0.5962,"AI Specialist with 4.9 YOE based in San Francisco (open to relocation), strong JD alignment via: LLMs, Qdrant."
CAND_0030468,55,0.5947,"Senior Applied Scientist with 5.4 YOE based in Indore, Madhya Pradesh (open to relocation), strong JD alignment via: Milvus, OpenSearch."
CAND_0082688,56,0.5944,"Senior Data Engineer with 7.7 YOE based in Sydney (open to relocation), strong JD alignment via: Elasticsearch."
CAND_0053605,57,0.5936,"Senior Software Engineer (ML) with 6.9 YOE based in Noida, Uttar Pradesh, strong JD alignment via: BM25, LangChain, RAG."
CAND_0089012,58,0.5934,"AI Specialist with 4.2 YOE based in Mumbai, Maharashtra, strong JD alignment via: Python, NLP."
CAND_0000165,59,0.5932,"AI Specialist with 6.8 YOE based in San Francisco (open to relocation), strong JD alignment via: Qdrant."
CAND_0035256,60,0.5927,"QA Engineer with 8.0 YOE based in Noida, Uttar Pradesh, strong JD alignment via: BM25."
CAND_0002295,61,0.5924,"Senior Software Engineer with 6.1 YOE based in Indore, Madhya Pradesh, strong JD alignment via: Milvus."
CAND_0000422,62,0.592,"AI Research Engineer with 6.3 YOE based in Kolkata, West Bengal, strong JD alignment via: Milvus, OpenSearch, Python."
CAND_0025640,63,0.5916,"AI Research Engineer with 5.6 YOE based in Jaipur, Rajasthan, strong JD alignment via: OpenSearch, Elasticsearch, FAISS, PEFT."
CAND_0043860,64,0.5914,"Junior ML Engineer with 6.1 YOE based in Bhubaneswar, Odisha (open to relocation), strong JD alignment via: Qdrant."
CAND_0015097,65,0.5911,"Senior Software Engineer (ML) with 6.0 YOE based in Coimbatore, Tamil Nadu, strong JD alignment via: LangChain, Python, PEFT, NLP."
CAND_0067535,66,0.5908,"Junior ML Engineer with 6.8 YOE based in Jaipur, Rajasthan, strong JD alignment via: LangChain."
CAND_0011643,67,0.5907,"AI Research Engineer with 4.2 YOE based in Jaipur, Rajasthan, strong JD alignment via: LLMs, Pinecone, FAISS."
CAND_0053591,68,0.5905,"AI Engineer with 5.3 YOE based in Toronto, strong JD alignment via: Embeddings, BM25, LangChain, Qdrant."
CAND_0083879,69,0.5899,"Machine Learning Engineer with 7.1 YOE based in Noida, Uttar Pradesh, strong JD alignment via: Milvus."
CAND_0043693,70,0.5895,"Data Engineer with 6.7 YOE based in Noida, Uttar Pradesh, strong JD alignment via: LLMs, Weaviate."
CAND_0006567,71,0.5894,"Senior AI Engineer with 7.9 YOE based in Noida, Uttar Pradesh (open to relocation), strong JD alignment via: BM25, Python, NLP."
CAND_0073007,72,0.589,"AI Specialist with 5.8 YOE based in Bangalore, Karnataka, strong JD alignment via: Embeddings, Milvus, FAISS."
CAND_0033336,73,0.5889,"Java Developer with 7.7 YOE based in Noida, Uttar Pradesh, strong JD alignment via: PEFT, NLP."
CAND_0010541,74,0.5889,"AI Research Engineer with 6.2 YOE based in Hyderabad, Telangana, strong JD alignment via: BM25, Pinecone, Weaviate, Qdrant."
CAND_0016163,75,0.5888,"Applied ML Engineer with 6.7 YOE based in Gurgaon, Haryana, strong JD alignment via: Embeddings, Pinecone, Weaviate, LoRA."
CAND_0090155,76,0.5884,"ML Engineer with 5.8 YOE based in Pune, Maharashtra, strong JD alignment via: Pinecone, Qdrant, Milvus, QLoRA."
CAND_0076163,77,0.5883,"NLP Engineer with 6.9 YOE based in Chandigarh, Chandigarh, strong JD alignment via: BM25, LangChain, Weaviate, OpenSearch."
CAND_0046313,78,0.588,"Senior Software Engineer (ML) with 5.8 YOE based in San Francisco (open to relocation), strong JD alignment via: BM25, LangChain, OpenSearch."
CAND_0088441,79,0.5879,"AI Specialist with 6.5 YOE based in Coimbatore, Tamil Nadu (open to relocation), strong JD alignment via: Qdrant, Milvus."
CAND_0092255,80,0.5877,"ML Engineer with 5.2 YOE based in Noida, Uttar Pradesh, strong JD alignment via: Weaviate, OpenSearch, RAG."
CAND_0028422,81,0.5874,"Junior ML Engineer with 5.5 YOE based in Chennai, Tamil Nadu, strong JD alignment via: Pinecone, OpenSearch."
CAND_0065195,82,0.5865,"Search Engineer with 5.1 YOE based in Kolkata, West Bengal, strong JD alignment via: LLMs, Qdrant, Elasticsearch, QLoRA."
CAND_0041083,83,0.5865,"Computer Vision Engineer with 6.2 YOE based in Noida, Uttar Pradesh, strong JD alignment via: Weaviate, PEFT."
CAND_0051466,84,0.5864,"AI Research Engineer with 5.3 YOE based in Trivandrum, Kerala, strong JD alignment via: BM25, LangChain, Weaviate, Milvus."
CAND_0013440,85,0.5863,"Senior Data Engineer with 7.2 YOE based in Noida, Uttar Pradesh (open to relocation), strong JD alignment via: Embeddings, OpenSearch."
CAND_0041669,86,0.5862,"Recommendation Systems Engineer with 8.0 YOE based in Noida, Uttar Pradesh, strong JD alignment via: Weaviate, Qdrant, Milvus, FAISS."
CAND_0047276,87,0.586,"Backend Engineer with 5.5 YOE based in Coimbatore, Tamil Nadu, strong JD alignment via: Qdrant, LoRA."
CAND_0074867,88,0.5854,"Senior Software Engineer with 7.7 YOE based in Vizag, Andhra Pradesh, strong JD alignment via: LangChain."
CAND_0043304,89,0.5854,"Junior ML Engineer with 6.5 YOE based in Trivandrum, Kerala (open to relocation), strong JD alignment via: BM25, LangChain, Qdrant, LoRA."
CAND_0018888,90,0.5852,"AI Research Engineer with 6.5 YOE based in Noida, Uttar Pradesh (open to relocation), strong JD alignment via: LLMs, FAISS. Note: currently not marked open to work."
CAND_0040443,91,0.5851,"Analytics Engineer with 7.2 YOE based in Seattle (open to relocation), strong JD alignment via: Qdrant."
CAND_0019288,92,0.5844,"AI Research Engineer with 5.7 YOE based in Noida, Uttar Pradesh, strong JD alignment via: OpenSearch, FAISS, NLP."
CAND_0060538,93,0.5842,"ML Engineer with 5.2 YOE based in Pune, Maharashtra, strong JD alignment via: Embeddings, LangChain, Milvus, OpenSearch."
CAND_0026006,94,0.5841,"Data Analyst with 6.2 YOE based in Jaipur, Rajasthan, strong JD alignment via: BentoML, Go, Time Series."
CAND_0065786,95,0.5839,"AI Specialist with 4.9 YOE based in Indore, Madhya Pradesh, strong JD alignment via: Pinecone, Qdrant, LoRA."
CAND_0061969,96,0.5833,"Senior Data Engineer with 6.7 YOE based in Pune, Maharashtra (open to relocation), strong JD alignment via: FAISS, Python."
CAND_0006332,97,0.5829,"Senior Software Engineer with 6.4 YOE based in Berlin, strong JD alignment via: pgvector, Data Pipelines, Azure."
CAND_0022056,98,0.5826,"Data Analyst with 6.6 YOE based in Pune, Maharashtra, strong JD alignment via: ASR, Image Classification, GANs."
CAND_0015581,99,0.5825,"Senior Software Engineer (ML) with 6.0 YOE based in Coimbatore, Tamil Nadu, strong JD alignment via: BM25, LangChain, Python, QLoRA."
CAND_0068570,100,0.5824,"Software Engineer with 6.4 YOE based in Delhi, Delhi (open to relocation), strong JD alignment via: RAG."
